"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"Depression";"Intercept";-1,28698217501311e-07;6,86830454719261e-09;-18,7379893563275;6,1028180023986e-78
"Depression";"Cis man";-6,77220989542497e-10;3,54321248628443e-09;-0,191131915504357;0,848423406420225
"Depression";"Non-binary";1,56549404102829e-09;1,49672895112891e-08;0,104594358240182;0,91669832025005
"Depression";"Trans man";-1,02669904704237e-08;2,63161900707855e-08;-0,390139698900467;0,696435738843062
"Depression";"Self-define";-1,80066950288593e-08;2,43334796303516e-08;-0,739996716556689;0,459307192757128
"Depression";"Trans woman";-5,25045981065175e-09;5,09923652134602e-08;-0,102965606491731;0,917990886607012
"Anxiety";"Intercept";9,45185154197698e-07;1,1646527457237e-08;81,1559632403884;0
"Anxiety";"Cis man";-1,47809668645078e-10;6,00819623311605e-09;-0,024601338390111;0,980373098847194
"Anxiety";"Non-binary";2,88971773542942e-08;2,5379909562236e-08;1,13858472519113;0,254884576425107
"Anxiety";"Trans man";5,65989651429685e-08;4,46241467779042e-08;1,26834839945878;0,20468240863666
"Anxiety";"Self-define";4,6444007359383e-09;4,12620810125325e-08;0,112558567623569;0,910381211539759
"Anxiety";"Trans woman";5,60245738159072e-08;8,64673337484382e-08;0,647927620607582;0,517036223093384
"Anorexia Nervosa";"Intercept";1,59141366673837e-06;1,14435526237322e-08;139,066400012704;0
"Anorexia Nervosa";"Cis man";1,55803588336037e-09;5,90348582612494e-09;0,263917951063002;0,791844772717542
"Anorexia Nervosa";"Non-binary";-1,12856345066361e-08;2,49375903441966e-08;-0,452555132667919;0,650872054985381
"Anorexia Nervosa";"Trans man";-8,16963758109649e-09;4,38464403932507e-08;-0,186323849959643;0,852191938002788
"Anorexia Nervosa";"Self-define";-2,07127874544269e-10;4,0542968465524e-08;-0,00510884827588294;0,995923777108764
"Anorexia Nervosa";"Trans woman";7,16426953710492e-08;8,49603873444024e-08;0,843248219674805;0,399095679879708
"Bipolar Disorder";"Intercept";1,06057414542545e-06;1,92355919397527e-08;55,1360285010849;0
"Bipolar Disorder";"Cis man";-1,44133341331646e-08;9,92323346667298e-09;-1,45248362658921;0,146376581192258
"Bipolar Disorder";"Non-binary";-5,28825859576485e-09;4,19178665571807e-08;-0,126157627525033;0,899607911709752
"Bipolar Disorder";"Trans man";8,08321934323288e-08;7,37019580498235e-08;1,09674417846111;0,272761152867543
"Bipolar Disorder";"Self-define";3,6564768571202e-10;6,81491161941923e-08;0,00536540612896724;0,995719077900324
"Bipolar Disorder";"Trans woman";-2,55604583279348e-07;1,42810838184205e-07;-1,78981221964159;0,0734931683652052
"PTSD";"Intercept";4,71913948017251e-07;5,61922820357814e-09;83,9819866573049;0
"PTSD";"Cis man";-1,82947947464353e-09;2,89884052132456e-09;-0,631107320732357;0,527974677399181
"PTSD";"Non-binary";2,380014965525e-09;1,22453241225787e-08;0,194361124434148;0,8458943108061
"PTSD";"Trans man";1,15465053744914e-08;2,15303029212537e-08;0,536290892734874;0,591761098756934
"PTSD";"Self-define";5,61038752023356e-09;1,99081700717473e-08;0,281813320863455;0,778088403778548
"PTSD";"Trans woman";4,68015893340554e-08;4,17188455761988e-08;1,12183327912497;0,261941405958854
