"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"an";"genderCis man";4,28211796236117e-09;5,2916966575069e-09;0,809214556221109;0,418396623556014
"an";"genderNon-binary";-4,3380474786754e-09;2,47076865117511e-08;-0,175574814607276;0,86062889104679
"an";"genderTrans man";-7,93310281904784e-09;4,34979333457934e-08;-0,182378844438021;0,855286364110386
"an";"genderSelf-define";6,16931075831173e-09;4,02694541032924e-08;0,153200754658538;0,8782407460654
"an";"genderTrans woman";4,75913823554115e-08;8,36719190312186e-08;0,568785596248305;0,569504888325249
"an";"pc1";3,63158158219654e-08;2,4218961869983e-09;14,9947863235935;1,09584291244043e-50
"an";"pc2";2,23434934309779e-08;4,17462995309259e-09;5,35220934119579;8,73708243200197e-08
"an";"pc3";8,24221232621657e-09;3,82015491773956e-09;2,15755970731512;0,0309680971995702
"an";"pc4";-5,42282289115414e-09;3,50228913701589e-09;-1,5483652773953;0,121542397149885
"an";"pc5";1,74357364636628e-07;1,99198858762418e-08;8,75292989728326;2,15959241408835e-18
"an";"pc6";-1,39089339682275e-08;5,63747915512257e-09;-2,4672257910859;0,0136206605913756
"an";"batchb02";3,22973568605582e-08;1,87717150150699e-08;1,720533091123;0,0853434250178347
"an";"batchb03";3,54293289562278e-08;1,53361047830005e-08;2,31019085077587;0,0208827241197884
"an";"batchb04";-4,6218463953347e-09;1,2940390491373e-08;-0,357164368294446;0,720970669307782
"an";"batchb05";-1,42613143114504e-08;1,72452208614787e-08;-0,826971972467253;0,408257949021016
"an";"batchb06";-6,50998472288627e-09;1,46574799329712e-08;-0,444140790412572;0,656943232955949
"an";"batchb07";-1,08103191184591e-08;1,97902248566965e-08;-0,546245391183678;0,584900357215093
"an";"batchb08";3,70830022951696e-08;1,03365615909939e-08;3,5875568455452;0,000334194673927832
"an";"batchb09";2,84916379946667e-08;1,03276097107904e-08;2,75878337703819;0,00580437049812216
"an";"batchb10";2,52341498897929e-08;1,53106685555435e-08;1,64814160781088;0,0993315785691433
"an";"batchb11";1,52943235028691e-08;2,75784049360717e-08;0,554576072775864;0,579187802541989
"an";"batchb12";3,28933005998776e-08;1,07170847965735e-08;3,06923955760752;0,0021475004811588
"an";"batchb15";2,50871231516478e-08;1,7763890287384e-08;1,41225388953594;0,157883105559492
"an";"batchb16";3,67990538282984e-08;1,07806231568505e-08;3,41344403685185;0,000642117724189188
"an";"batchb17";3,71208156896987e-09;1,65691210704606e-08;0,224036118342316;0,822730359154495
"an";"batchb18";6,96252350609222e-09;1,01125940078653e-07;0,0688500250348915;0,945109347230109
"an";"batchb19";5,52705765310545e-08;2,18797993418887e-08;2,52610070446301;0,0115375207402022
"an";"batchb20";2,18627042771574e-08;2,0675345517618e-08;1,05742872633145;0,290322441409261
"an";"batchb21";2,98606885546189e-08;1,18621448710642e-08;2,51730938031782;0,0118294225999201
"an";"batchb24";3,75530473845032e-08;1,29796174876894e-08;2,89323220966416;0,00381507887605805
"bipolar";"(Intercept)";1,05665314818435e-06;1,59925893301529e-08;66,0714238558044;0
"bipolar";"genderCis man";-1,54238579343812e-08;8,89060466698101e-09;-1,73484914829968;0,0827753377403551
"bipolar";"genderNon-binary";7,02848510684360e-09;4,15115013631887e-08;0,169314162967767;0,865550404420153
"bipolar";"genderTrans man";9,88563047364015e-08;7,30810842415782e-08;1,35269346045305;0,176161332560714
"bipolar";"genderSelf-define";7,67674977744232e-09;6,765690094492e-08;0,113465879610596;0,909661789805699
"bipolar";"genderTrans woman";-2,78514723613769e-07;1,40577588244577e-07;-1,98121711356442;0,0475738620983008
"bipolar";"pc1";3,10306257173426e-08;4,06903927732228e-09;7,62603248641115;2,4750883719594e-14
"bipolar";"pc2";2,8390455550558e-08;7,01381559565243e-09;4,0477904164113;5,18019489435962e-05
"bipolar";"pc3";3,48097234488103e-08;6,4182604065304e-09;5,42354489284859;5,87712017162542e-08
"bipolar";"pc4";1,03036365035295e-08;5,884212599847e-09;1,75106462057428;0,0799425504680719
"bipolar";"pc5";5,22265342158625e-07;3,34674947940955e-08;15,6051519652665;9,79281128512815e-55
"bipolar";"pc6";-3,6785175713583e-08;9,47155548219849e-09;-3,88375233431507;0,000103024302351867
"bipolar";"batchb02";3,88661585284459e-08;3,15384474813881e-08;1,23234216114735;0,217828640620861
"bipolar";"batchb03";-2,7239881496935e-08;2,57662624261784e-08;-1,05719180556274;0,290430531963308
"bipolar";"batchb04";-2,9334009736354e-08;2,17412114755196e-08;-1,34923528844673;0,177269146285915
"bipolar";"batchb05";-1,29515639395649e-08;2,89737774096853e-08;-0,447009851578257;0,654870400636292
"bipolar";"batchb06";-9,68222285905641e-08;2,46261015951073e-08;-3,93169126735839;8,44943321885292e-05
"bipolar";"batchb07";-3,55862800222574e-09;3,32496506998276e-08;-0,107027530434905;0,914767683258111
"bipolar";"batchb08";8,44224388706346e-08;1,73665061830515e-08;4,86122182440041;1,1711134107578e-06
"bipolar";"batchb09";5,89049882882815e-08;1,73514660866389e-08;3,39481332552297;0,000687430085377065
"bipolar";"batchb10";-1,64384250018928e-09;2,57235268997157e-08;-0,063904242470244;0,949046797934626
"bipolar";"batchb11";9,90484842839519e-08;4,63346090114031e-08;2,13767821499423;0,0325489963960049
"bipolar";"batchb12";8,65737927369332e-08;1,80058250265876e-08;4,80809919062844;1,52932916233754e-06
"bipolar";"batchb15";4,05982294807045e-08;2,98451963735885e-08;1,3602935954086;0,173744806186229
"bipolar";"batchb16";9,05826895080983e-08;1,81125761272218e-08;5,00109365293208;5,72501925917375e-07
"bipolar";"batchb17";-3,92311650082059e-08;2,7837858942242e-08;-1,40927379112031;0,158762107277141
"bipolar";"batchb18";7,50258431469025e-08;1,69902171837586e-07;0,441582602126015;0,658793696026281
