"Sample";"Time point";"Duration";"Model";"Regression";"Dependent variable";"Level";"Independent variable";"Estimate";"95% CI low";"95% CI up";"SE";"z score";"p value";"Model_Variant"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Cis man";"batchb18";0,26;0,09;0,76;0,55;-2,47;"0.01";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Cis man";"batchb19";0,8;0,67;0,96;0,09;-2,37;"0.02";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Cis man";"batchb20";0,91;0,76;1,08;0,09;-1,13;"0.26";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Cis man";"batchb21";0,3;0,26;0,33;0,06;-21,3;"1.21e-100";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Cis man";"batchb24";0,29;0,25;0,33;0,06;-19,29;"6.31e-83";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"Intercept";0,01;0;0,01;0,33;-15,88;"8.08e-57";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"SCORE";1;1;1;0;240,7;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc1";1,08;1,02;1,15;0,03;2,69;"0.007";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc2";0,97;0,87;1,09;0,06;-0,49;"0.62";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc3";0,96;0,84;1,1;0,07;-0,59;"0.55";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc4";1,1;0,96;1,26;0,07;1,34;"0.18";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc5";0,89;0,43;1,85;0,37;-0,31;"0.75";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"pc6";0,89;0,72;1,1;0,11;-1,07;"0.29";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb02";0;0;0;0;-32653,65;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb03";0,8;0,22;2,92;0,66;-0,34;"0.74";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb04";0,54;0,15;1,91;0,65;-0,96;"0.34";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb05";0,41;0,06;2,75;0,97;-0,92;"0.36";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb06";0,53;0,12;2,25;0,74;-0,87;"0.39";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb07";0;0;0;0;-36451,12;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb08";3,04;1,54;5,99;0,35;3,22;"0.001";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb09";3,55;1,81;6,93;0,34;3,7;"2.12e-04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb10";0,34;0,05;2,24;0,96;-1,12;"0.26";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb11";1,07;0,14;7,88;1,02;0,07;"0.95";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb12";3,47;1,77;6,79;0,34;3,62;"2.90e-04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb15";2,2;0,77;6,24;0,53;1,48;"0.14";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb16";0,39;0,15;1,03;0,5;-1,9;"0.06";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb17";0,61;0,14;2,7;0,76;-0,65;"0.52";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb18";0,05;0;33996620000;13,87;-0,21;"0.83";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb19";1,36;0,31;5,92;0,75;0,42;"0.68";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb20";0;0;0;0;-255341,12;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb21";6,12;3,14;11,93;0,34;5,32;"1.06e-07";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Non-binary";"batchb24";10,32;5,33;19,99;0,34;6,92;"4.53e-12";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"Intercept";0;0;0,01;2,53;-3,84;"1.23e-04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"SCORE";1;1;1;0;-372,49;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc1";1,01;0,72;1,4;0,17;0,03;"0.98";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc2";0,69;0,37;1,3;0,32;-1,15;"0.25";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc3";0,91;0,53;1,57;0,28;-0,34;"0.73";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc4";0,76;0,45;1,27;0,26;-1,04;"0.30";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc5";17,48;1,78;171,8;1,17;2,45;"0.01";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"pc6";2,79;1,21;6,44;0,43;2,4;"0.02";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb02";0,52;0;3988491;8,08;-0,08;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb03";32,47;0,2;5188,87;2,59;1,34;"0.18";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb04";7,69;0,04;1665,86;2,74;0,74;"0.46";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb05";0,6;0;171438,5;6,41;-0,08;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb06";13,73;0,07;2669,15;2,69;0,97;"0.33";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb07";35,76;0,19;6872,18;2,68;1,33;"0.18";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb08";16,8;0,12;2410,36;2,53;1,11;"0.27";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb09";22,45;0,16;3154,75;2,52;1,23;"0.22";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb10";0,77;0;19655,42;5,18;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb11";0,4;0;8132433000;12,11;-0,08;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb12";20,04;0,14;2841,18;2,53;1,19;"0.24";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb15";0,43;0;1801830;7,78;-0,11;"0.91";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb16";0,7;0;492,9;3,35;-0,11;"0.91";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb17";0,49;0;64057,06;6,01;-0,12;"0.91";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb18";0,45;0;4,628113e+37;44,66;-0,02;"0.99";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb19";0,9;0;800994,7;6,99;-0,01;"0.99";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb20";0,79;0;801251,1;7,06;-0,03;"0.97";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb21";15,7;0,1;2376,54;2,56;1,08;"0.28";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans woman";"batchb24";39,21;0,27;5594,43;2,53;1,45;"0.15";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"Intercept";0;0;0;0,99;-7,41;"1.23e-13";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"SCORE";1;1;1;0;29,65;"3.17e-193";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc1";1,11;1,01;1,21;0,04;2,28;"0.02";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc2";0,98;0,83;1,14;0,08;-0,31;"0.75";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc3";1,02;0,82;1,28;0,11;0,21;"0.84";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc4";0,95;0,75;1,21;0,12;-0,4;"0.69";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc5";0,48;0,15;1,56;0,61;-1,23;"0.22";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"pc6";0,86;0,63;1,18;0,16;-0,94;"0.35";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb02";5,32;0,35;81,15;1,39;1,2;"0.23";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb03";2,48;0,16;39,23;1,41;0,64;"0.52";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb04";1,24;0,06;23,77;1,51;0,14;"0.89";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb05";0;0;0;0,02;-401,36;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb06";7,11;0,77;65,39;1,13;1,73;"0.08";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb07";0,01;0;3,583906e+24;31,49;-0,16;"0.87";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb08";13,26;1,87;94,3;1;2,58;"0.010";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb09";8,53;1,18;61,89;1,01;2,12;"0.03";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb10";0;0;0;0,02;-437,56;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb11";0,02;0;8,413838e+15;20,66;-0,18;"0.85";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb12";12,21;1,71;87,13;1;2,5;"0.01";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb15";3,83;0,25;58,77;1,39;0,97;"0.33";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb16";2,62;0,31;21,81;1,08;0,89;"0.37";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb17";2,69;0,17;42,87;1,41;0,7;"0.48";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb18";0,19;0;6,512229e+18;22,95;-0,07;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb19";12,2;1,15;129,55;1,21;2,08;"0.04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb20";0;0;1,796482e+27;34,78;-0,16;"0.88";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb21";23,11;3,26;163,76;1;3,14;"0.002";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Self-define";"batchb24";28,89;4,06;205,56;1;3,36;"7.82e-04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"Intercept";0;0;0,74;5,36;-2,02;"0.04";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"SCORE";1;1;1;0;219,28;"0.00e+00";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc1";0,87;0,65;1,17;0,15;-0,91;"0.36";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc2";1;0,62;1,62;0,24;0,02;"0.98";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc3";0,91;0,64;1,29;0,18;-0,52;"0.60";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc4";0,95;0,72;1,25;0,14;-0,36;"0.72";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc5";0,53;0,11;2,52;0,79;-0,79;"0.43";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"pc6";0,75;0,49;1,16;0,22;-1,28;"0.20";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb02";1,51;0;9079212000;11,49;0,04;"0.97";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb03";78,17;0;3399382;5,45;0,8;"0.42";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb04";138,22;0;5372438;5,39;0,91;"0.36";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb05";0,1;0;1,005193e+26;31,71;-0,07;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb06";198,42;0,01;7700365;5,39;0,98;"0.33";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb07";0,32;0;2,190867e+19;23,3;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb08";374,88;0,01;13772220;5,36;1,11;"0.27";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb09";330,55;0,01;12152750;5,36;1,08;"0.28";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb10";0,15;0;2,314272e+19;23,71;-0,08;"0.94";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb11";0,25;0;2,422594e+28;34,05;-0,04;"0.97";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb12";292,34;0,01;10763640;5,36;1,06;"0.29";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb15";118,69;0;5163843;5,45;0,88;"0.38";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb16";14,66;0;658694,5;5,47;0,49;"0.62";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb17";93,85;0;4075618;5,45;0,83;"0.40";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb18";0,32;0,15;0,71;0,4;-2,83;"0.005";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb19";0,16;0;4,612927e+28;34,62;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb20";0,23;0;1,377309e+23;27,94;-0,05;"0.96";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb21";620,98;0,02;22807670;5,36;1,2;"0.23";"Without Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_No_Control";"Multinomial";"gender";"Trans man";"batchb24";839,13;0,02;30828730;5,36;1,26;"0.21";"Without Study Status"
