"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","pc5",28.24,2.84,280.97,1.17,2.85,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","pc6",3.44,1.51,7.86,0.42,2.93,"0.003"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb02",0.5,0,8518.26,4.97,-0.14,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb03",12.94,0.55,303.09,1.61,1.59,"0.11"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb04",3.8,0.12,119.62,1.76,0.76,"0.45"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb05",0.8,0,561.29,3.35,-0.07,"0.95"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb06",5.76,0.19,171.48,1.73,1.01,"0.31"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb07",12.74,0.39,410.78,1.77,1.44,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb08",5.27,0.26,108.29,1.54,1.08,"0.28"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb09",6.77,0.34,135.14,1.53,1.25,"0.21"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb10",0.71,0,324.22,3.13,-0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb11",0.76,0,22211.77,5.25,-0.05,"0.96"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb12",5.46,0.27,111.93,1.54,1.1,"0.27"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb15",0.55,0,1615.78,4.08,-0.15,"0.88"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb16",0.23,0,36.35,2.58,-0.57,"0.57"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb17",0.68,0,278.36,3.07,-0.12,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb18",0.46,0,6.714509e+21,26.04,-0.03,"0.98"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb19",0.66,0,6752.78,4.71,-0.09,"0.93"
