"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"dep";"(Intercept)";-1,31923554416147e-07;5,71505462863686e-09;-23,0835159046613;4,0720976881931e-117
"dep";"genderCis man";-1,60693394348167e-09;3,17888356391739e-09;-0,505502611583992;0,613208693418544
"dep";"genderNon-binary";4,10028677735515e-09;1,48308973393878e-08;0,276469230655763;0,782189140063393
"dep";"genderTrans man";-5,38650411043516e-09;2,61089811494191e-08;-0,206308475984135;0,836551024458698
"dep";"genderSelf-define";-1,70402877576778e-08;2,41711742147876e-08;-0,704983862441104;0,480824447754081
"dep";"genderTrans woman";-1,05690037563616e-08;5,02223510593299e-08;-0,210444225199174;0,833322067287535
"dep";"pc1";7,15197915525214e-09;1,45414193390282e-09;4,91835012009915;8,76278266990402e-07
"dep";"pc2";7,37614140816773e-09;2,51211588137295e-09;2,93622657412462;0,00332423656829597
"dep";"pc3";6,80135591015108e-09;2,29576650076745e-09;2,96256431474083;0,00305270293670964
"dep";"pc4";-1,60289095073653e-09;2,10434407920298e-09;-0,761705733666725;0,446240213367266
"dep";"pc5";9,79016594381398e-08;1,19737147854928e-08;8,17638144819985;3,01155528189153e-16
"dep";"pc6";-1,36172513415344e-08;3,38938377262799e-09;-4,01761861595747;5,88983400227701e-05
"dep";"batchb02";6,06728073416382e-09;1,12672984917631e-08;0,538485843665124;0,590244718922987
"dep";"batchb03";7,87452031696442e-09;9,2051530097431e-09;0,855446977212623;0,392308949984476
"dep";"batchb04";-1,98441940149451e-09;7,76717809267858e-09;-0,255487820391944;0,798347683589296
"dep";"batchb05";-4,00960863121657e-09;1,0351055860644e-08;-0,387362283152352;0,698490115215953
"dep";"batchb06";-1,33043269403592e-08;8,79782301717398e-09;-1,51222943612167;0,130483528315178
"dep";"batchb07";4,66292504750666e-09;1,18786335351384e-08;0,39254726006263;0,694656023396896
"dep";"batchb08";4,35408028683271e-08;6,2043527628491e-09;7,01778324550533;2,29052036050781e-12
"dep";"batchb09";4,64668967981202e-08;6,20024465533861e-09;7,49436504221018;6,80142524414763e-14
"dep";"batchb10";-7,3389175541579e-09;9,18988405617162e-09;-0,798586522887558;0,424535020106952
"dep";"batchb11";4,37448760579394e-08;1,65533309561934e-08;2,64266304912924;0,00822893833864598
"dep";"batchb12";5,80761745644503e-08;6,43659289641282e-09;9,02281307814523;1,91382202195601e-19
"dep";"batchb15";3,57524385149096e-08;1,06623824360708e-08;3,35313788726609;0,000799761422436251
"dep";"batchb16";6,37285072859185e-08;6,47971187494368e-09;9,83508349072581;8,44610720319733e-23
"dep";"batchb17";1,47894459960492e-08;9,94527090605539e-09;1,48708327161247;0,137000824205401
"dep";"batchb18";8,79646329580167e-08;6,06985715050779e-08;1,44920433507497;0,147288488908328
"dep";"batchb19";4,96508790571976e-09;1,31328575557291e-08;0,378066074702361;0,70538354708597
"dep";"batchb20";5,26673226436477e-08;1,24099105486352e-08;4,2439727858828;2,20098856841753e-05
"dep";"batchb21";5,91673250319455e-08;7,12967185927758e-09;8,2987444863894;1,08523527869998e-16
"dep";"batchb24";5,46298597991732e-08;7,8044974276254e-09;6,99979214623112;2,60435818091181e-12
"anxiety";"(Intercept)";9,43885330673019e-07;9,69891822584459e-09;97,3186193237365;0
"anxiety";"genderCis man";3,21709095296852e-10;5,39482712578551e-09;0,0596328830926181;0,952448330588149
"anxiety";"genderNon-binary";2,90515377583729e-08;2,51692538142767e-08;1,15424708148853;0,248405888622751
"anxiety";"genderTrans man";5,89924621901263e-08;4,43090905657245e-08;1,33138508231447;0,183070041092506
"anxiety";"genderSelf-define";7,19692374768602e-09;4,10204726578064e-08;0,17544711899648;0,860729221024763
