"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"Depression";"Intercept";-1,31923554416147e-07;5,71505462863686e-09;-23,0835159046613;4,0720976881931e-117
"Depression";"Cis man";-1,60693394348167e-09;3,17888356391739e-09;-0,505502611583992;0,613208693418544
"Depression";"Non-binary";4,10028677735515e-09;1,48308973393878e-08;0,276469230655763;0,782189140063393
"Depression";"Trans man";-5,38650411043516e-09;2,61089811494191e-08;-0,206308475984135;0,836551024458698
"Depression";"Self-define";-1,70402877576778e-08;2,41711742147876e-08;-0,704983862441104;0,480824447754081
"Depression";"Trans woman";-1,05690037563616e-08;5,02223510593299e-08;-0,210444225199174;0,833322067287535
"Anxiety";"Intercept";9,43885330673019e-07;9,69891822584459e-09;97,3186193237365;0
"Anxiety";"Cis man";3,21709095296852e-10;5,39482712578551e-09;0,0596328830926181;0,952448330588149
"Anxiety";"Non-binary";2,90515377583729e-08;2,51692538142767e-08;1,15424708148853;0,248405888622751
"Anxiety";"Trans man";5,89924621901263e-08;4,43090905657245e-08;1,33138508231447;0,183070041092506
"Anxiety";"Self-define";7,19692374768602e-09;4,10204726578064e-08;0,17544711899648;0,860729221024763
"Anxiety";"Trans woman";4,3810597584169e-08;8,52314645591204e-08;0,514019063391548;0,607241546340485
"Anorexia Nervosa";"Intercept";1,59056699960907e-06;9,52101786413023e-09;167,058503860329;0
"Anorexia Nervosa";"Cis man";4,30962255402744e-09;5,29587364718969e-09;0,813769897307574;0,415781702742333
"Anorexia Nervosa";"Non-binary";-4,75206885200724e-09;2,47075920852698e-08;-0,192332333948492;0,847482883934866
"Anorexia Nervosa";"Trans man";-8,2561808897401e-09;4,34963604183693e-08;-0,189813143222286;0,849456534494669
"Anorexia Nervosa";"Self-define";5,87252375269245e-09;4,0268063290742e-08;0,145835763450849;0,884051788875942
"Anorexia Nervosa";"Trans woman";4,71322442877366e-08;8,36681243987602e-08;0,563323782222074;0,573217633494786
"Bipolar Disorder";"Intercept";1,05647183426607e-06;1,59970688806225e-08;66,0415881277974;0
"Bipolar Disorder";"Cis man";-1,47977370385233e-08;8,89804606252632e-09;-1,66303219094845;0,0963139484233891
"Bipolar Disorder";"Non-binary";6,74930392662557e-09;4,15133190697453e-08;0,162581650368313;0,87084866969564
"Bipolar Disorder";"Trans man";9,87035264009531e-08;7,30819208196705e-08;1,35058746806209;0,176835377050478
"Bipolar Disorder";"Self-define";7,4431678422548e-09;6,76577852645496e-08;0,110011993640513;0,91240042359905
"Bipolar Disorder";"Trans woman";-2,78616682335162e-07;1,4057790545294e-07;-1,98193792571786;0,0474931282293586
"PTSD";"Intercept";4,68731482028854e-07;4,67212956931386e-09;100,32501776223;0
"PTSD";"Cis man";-9,95539168906001e-10;2,59877759032493e-09;-0,383079788209781;0,701662672738883
"PTSD";"Non-binary";3,56867600347308e-09;1,21244464841344e-08;0,294337230828882;0,768501777044168
"PTSD";"Trans man";1,54200228920241e-08;2,13444228934614e-08;0,722438033063327;0,470029500058294
"PTSD";"Self-define";9,71105983010662e-09;1,97602411721621e-08;0,491444398147699;0,623114907473618
"PTSD";"Trans woman";4,39325118707683e-08;4,10574083139995e-08;1,07002642579825;0,284613971389823
"Schizophrenia";"Intercept";9,79889082270836e-07;1,77803663356003e-08;55,1107364030446;0
"Schizophrenia";"Cis man";-1,95505115821176e-08;9,88996920894721e-09;-1,97680206773857;0,0480709714568749
"Schizophrenia";"Non-binary";3,11392502878987e-08;4,61410791173646e-08;0,674870438307104;0,499762044989037
"Schizophrenia";"Trans man";8,68708000161696e-09;8,12288385066023e-08;0,106945761644873;0,91483255349931
"Schizophrenia";"Self-define";3,58947507529414e-08;7,52000392344539e-08;0,477323564167713;0,633134382336326
"Schizophrenia";"Trans woman";-1,96033891234593e-07;1,56249040139621e-07;-1,25462461119391;0,209622509810696
"ADHD";"Intercept";3,98782992141865e-07;5,42009091064884e-09;73,5749637258624;0
"ADHD";"Cis man";-9,60674584808358e-09;3,01481596071974e-09;-3,18651153942748;0,00144112072933907
"ADHD";"Non-binary";3,53006439382541e-08;1,40654494295105e-08;2,50974162718117;0,0120859307495033
"ADHD";"Trans man";2,81190107250486e-08;2,47614520962193e-08;1,1355961926539;0,256132513169101
"ADHD";"Self-define";-1,10125085169536e-09;2,29236586829491e-08;-0,0480399253420436;0,961684667080337
"ADHD";"Trans woman";1,36575861386267e-07;4,76302898530675e-08;2,86741612968521;0,00414058016307709
"Cannabis Use Disorder";"Intercept";5,20298686750383e-07;5,92976562715242e-09;87,7435499925888;0
"Cannabis Use Disorder";"Cis man";-7,98729443919762e-09;3,2983122148271e-09;-2,42163079750057;0,0154555254217185
"Cannabis Use Disorder";"Non-binary";2,29429302145741e-08;1,53880848001455e-08;1,49095423586158;0,135981518894626
"Cannabis Use Disorder";"Trans man";-6,5180267575095e-09;2,70898791070214e-08;-0,240607450914024;0,809860627146561
"Cannabis Use Disorder";"Self-define";-1,77874188336425e-09;2,50792699878263e-08;-0,0709247870543147;0,943457975931095
"Cannabis Use Disorder";"Trans woman";-7,69197530810818e-09;5,21091731186877e-08;-0,147612691734493;0,882649193876923
"Smoking Initiation";"Intercept";1,35389933158772e-08;4,6309590223355e-09;2,92358305279263;0,00346224856599012
"Smoking Initiation";"Cis man";-9,15170524035792e-09;2,57587730614371e-09;-3,55284982655433;0,000381527141505045
"Smoking Initiation";"Non-binary";1,12717620303469e-08;1,20176065332819e-08;0,937937350430845;0,34828235849631
"Smoking Initiation";"Trans man";3,72234612742384e-08;2,11563370211789e-08;1,75944735787557;0,07850931705445
"Smoking Initiation";"Self-define";2,74994196795398e-08;1,95861150214609e-08;1,40402625275141;0,160318917049171
"Smoking Initiation";"Trans woman";1,00207382194226e-07;4,06956127060816e-08;2,46236327532307;0,0138067278366149
